zh,profession,rarity,en,ja,id,sex,birth_place,team,logo,race,nation,group,hp,atk,def,res,re_deploy,cost,block,interval,position,tag,obtain_method,potential,trust,phy,flex,tolerance,plan,skill,adapt,sortid,subprofession,description
W,狙击,5,W,W,B214,女,卡兹戴尔,,巴别塔,萨卡兹,,巴别塔,1605,912,133,0,70s,25→27→29,1,2.8s,远程位,输出 控场,限定寻访,"cost,re_deploy,atk,,cost`-1,-4,35,,-1","0,100,0",标准,标准,优良,卓越,优良,标准,137,炮手,攻击造成群体物理伤害
万顷,先锋,4,Wanqing,ワンチィン,YD13,男,炎,,炎,丰蹄,炎,,1516,514,380,0,80s,11→13,1,1.3s,近战位,费用回复 支援,活动获得,"cost,re_deploy,cost,,cost`-1,-10,-1,,-1","100,0,45",标准,标准,优良,普通,标准,优良,312,执旗手,技能发动期间阻挡数变为0
三角初华,辅助,4,Misumi Uika,,AM03,女,未知,Ave Mujica,Ave Mujica,未知,,,1410,309,253,0,70s,5→7,1,1.3s,远程位,支援 治疗,联动寻访,"cost,re_deploy,atk,,cost`-1,-4,20,,-1","0,70,0",标准,标准,标准,标准,标准,■■,387,吟游者,不攻击，持续恢复范围内所有友军生命（每秒相当于自身攻击力10%的生命），自身不受鼓舞影响
丰川祥子,近卫,5,Togawa Sakiko,,AM01,女,未知,Ave Mujica,Ave Mujica,未知,,,2056,725,425,10,70s,18→20,2,1.3s,近战位,输出,联动寻访,"cost,re_deploy,atk,,cost`-1,-4,26,,-1","300,60,0",普通,普通,普通,优良,标准,■■,388,领主,可以进行远程攻击，但此时攻击力降低至80%
临光,重装,4,Nearl,ニアール,FO02,女,卡西米尔,使徒,使徒,库兰塔,,,2780,462,575,10,70s,17→19→21,2→3→3,1.2s,近战位,防护 治疗,"公开招募, 中坚寻访","cost,re_deploy,def,,cost`-1,-4,25,,-1","0,40,50",优良,优良,优良,优良,优良,优良,60,守护者,技能可以治疗友方单位
乌尔比安,近卫,5,Ulpianus,ウルピアヌス,AA00,男,阿戈尔,,深海猎人,阿戈尔,阿戈尔,深海猎人,6022,1569,0,0,70s,20→22→24,2,2.5s,近战位,输出 生存,标准寻访,"cost,hp,atk,,cost`-1,250,45,,-1","500,80,0",卓越,优良,卓越,优良,卓越,缺陷,333,重剑手,同时攻击阻挡的所有敌人
乌有,特种,4,Mr.Nothing,ウユウ,YD11,男,炎,,炎,黎博利,炎,,2398,725,396,0,25s,6→8,1,1.0s,近战位,快速复活 输出,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-3,25,,-1","200,40,0",标准,标准,优良,普通,优良,标准,180,行商,再部署时间减少，撤退时不返还部署费用，在场时每3秒消耗3点部署费用（不足时自动撤退）
九色鹿,辅助,4,Nine-Colored Deer,九色鹿,YD09,女,炎,,炎,埃拉菲亚,炎,,1685,443,179,25,70s,9→11,1,1.6s,远程位,支援 生存,活动获得,`,"350,35,0",普通,普通,标准,优良,标准,标准,219,护佑者,攻击造成法术伤害，技能开启后改为治疗友方单位（治疗量相当于75%攻击力）
云迹,特种,3,Contrail,コントレイル,CB33,女,哥伦比亚,,哥伦比亚,札拉克,哥伦比亚,,2255,692,393,0,70s,14→16,2,1.5s,近战位,高空 控场,凭证交易所(采购),"cost,re_deploy,atk,,cost`-1,-4,25,,-1","0,35,35",普通,优良,标准,普通,普通,标准,348,巡空者,起飞后能够阻挡2个飞行敌人
亚叶,医疗,4,Folinic,フォリニック,R133,女,乌萨斯,,罗德岛,菲林,罗德岛,,1585,479,133,0,80s,19→21,1,2.85s,远程位,治疗 输出,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","200,50,0",普通,标准,标准,标准,标准,优良,145,医师,恢复友方单位生命
仇白,近卫,5,Qiubai,チューバイ,YD20,女,炎,,炎,埃拉菲亚,炎,,2480,718,402,10,70s,18→20,2,1.3s,近战位,输出 控场,标准寻访,"cost,,atk,,cost`-1,,26,,-1","0,50,50",优良,优良,优良,标准,卓越,标准,270,领主,可以进行远程攻击，但此时攻击力降低至80%
令,辅助,5,Ling,リィン,NM03,女,炎,,炎-岁,未公开,炎,炎-岁,1079,473,138,20,70s,10→12,1,1.6s,远程位,召唤 支援 控场,限定寻访,"cost,re_deploy,atk,,cost`-1,-4,24,,-1","350,35,0",标准,普通,标准,优良,普通,缺陷,223,召唤师,攻击造成法术伤害可以使用召唤物协助作战
伊内丝,先锋,5,Ines,イネス,B215,女,卡兹戴尔,,巴别塔,未公开,,巴别塔,2121,589,281,0,35s,9→11,1,1.0s,近战位,费用回复 快速复活,标准寻访,"cost,re_deploy,interval,,cost`-1,-4,8,,-1","0,50,30",标准,优良,优良,标准,标准,优良,278,情报官,再部署时间减少，可使用远程攻击
伊桑,特种,3,Ethan,イーサン,R130,男,未公开,,罗德岛,萨弗拉,罗德岛,,1530,742,337,30,70s,17→19,0,3.5s,近战位,输出 控场,凭证交易所(采购),"cost,re_deploy,hp,re_deploy,cost`-1,-4,150,-6,-1","450,0,0",普通,标准,普通,标准,标准,优良,107,伏击客,对攻击范围内所有敌人造成伤害拥有50%的物理和法术闪避且不容易成为敌人的攻击目标
伊芙利特,术师,5,Ifrit,イフリータ,RL03,女,未公开,,莱茵生命,萨卡兹,哥伦比亚,莱茵生命,1680,870,130,20,70s,31→34,1,2.9s,远程位,群攻 削弱,"公开招募, 中坚寻访","cost,,atk,cost,`-1,,35,-1,","0,110,0",普通,标准,普通,缺陷,普通,卓越,75,轰击术师,攻击造成超远距离的群体法术伤害
休谟斯,近卫,3,Humus,ヒューマス,R171,男,哥伦比亚,,罗德岛,丰蹄,罗德岛,,2150,616,403,0,70s,18→19→21,1→2→2,1.3s,近战位,输出 生存,"标准寻访, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,35,,-1","0,30,30",标准,标准,优良,普通,标准,标准,275,收割者,无法被友方角色治疗，攻击造成群体伤害，每攻击到一个敌人回复自身50生命，最大生效数等于阻挡数
伺夜,先锋,5,Vigil,ヴィジェル,SR36,男,叙拉古,,叙拉古,鲁珀,叙拉古,,1755,462,154,0,70s,15→17,1,1.0s,远程位,费用回复 控场,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,80,0",标准,标准,标准,优良,优良,标准,259,战术家,可以在攻击范围内选择一次战术点来召唤援军，自身攻击援军阻挡的敌人时攻击力提升至150%
但书,辅助,4,Proviso,プロヴァイゾ,KZ10,女,卡西米尔,,卡西米尔,库兰塔,卡西米尔,,1298,513,102,20,70s,13→15,1,1.9s,远程位,削弱 减速,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,23,,-1","0,65,0",普通,标准,普通,标准,普通,普通,248,凝滞师,攻击造成法术伤害，并对敌人造成短暂的停顿
余,重装,5,Yu,ユー,NM06,男,炎,,炎-岁,未公开,炎,炎-岁,3333,685,577,10,70s,22→24→26,3,1.6s,近战位,元素 防护,限定寻访,"cost,,hp,,cost`-1,,270,,-1","300,30,30",标准,优良,标准,普通,普通,缺陷,360,本源铁卫,能够阻挡三个敌人，可以造成元素损伤
佩佩,近卫,5,Pepe,ペペ,SG14,女,萨尔贡,,萨尔贡,菲林,萨尔贡,,2851,1290,387,0,70s,18→20,2,1.8s,近战位,输出 控场,限定寻访,"cost,,atk,,cost`-1,,35,,-1","0,70,45",标准,普通,标准,优良,优良,标准,340,撼地者,攻击使目标周围的其他敌人受到相当于攻击力50%的群体物理伤害
信仰搅拌机,重装,5,Sankta Miksaparato,サンクタ・ミキサー,LT32,男,拉特兰,,拉特兰,萨科塔,拉特兰,,3677,504,703,0,80s,21→23→25,3,1.2s,近战位,防护 输出 支援,活动获得,"cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,60,60",优良,标准,标准,优良,卓越,标准,371,哨戒铁卫,能够阻挡三个敌人，可以进行远程攻击
假日威龙陈,狙击,5,Ch'en the Holungday,遊龍チェン,R112,女,龙门,,罗德岛,龙,罗德岛,,2501,773,203,0,70s,29→32,1,2.3s,远程位,输出 群攻,限定寻访,"cost,re_deploy,atk,,cost`-1,-4,33,,-1","0,80,0",优良,标准,优良,优良,优良,标准,202,散射手,攻击范围内的所有敌人，对自己前方一横排的敌人攻击力提升至150%
傀影,特种,5,Phantom,ファントム,R109,男,维多利亚,,维多利亚,菲林,维多利亚,,1645,558,322,0,18s,8→10,1,0.93s,近战位,快速复活 控场 输出,"公开招募, 中坚寻访","cost,atk,re_deploy,hp,cost`-1,22,-2,130,-1","0,90,0",标准,卓越,标准,优良,优良,标准,133,处决者,再部署时间大幅度减少
克洛丝,狙击,2,Kroos,クルース,PA12,女,雷姆必拓,行动预备组A1,行动预备组A1,卡特斯,罗德岛,,1060,375,126,0,70s,9→11,1,1.0s,远程位,输出,"公开招募, 标准寻访, 中坚寻访, 主线剧情","cost,re_deploy,atk,,cost`-1,-4,21,,-1","0,50,0",普通,标准,普通,标准,优良,标准,14,速射手,优先攻击空中单位
八幡海铃,特种,4,Yahata Umiri,,AM02,女,未知,Ave Mujica,Ave Mujica,未知,,,1729,809,331,30,80s,20→22,0,3.5s,近战位,输出 控场,活动获得,"cost,re_deploy,cost,,cost`-1,-10,-1,,-1","200,30,30",普通,普通,标准,普通,普通,■■,385,伏击客,对攻击范围内所有敌人造成伤害拥有50%的物理和法术闪避且不容易成为敌人的攻击目标
冬时,先锋,3,Снегyрочка,,US38,女,乌萨斯,,乌萨斯,黎博利,乌萨斯,,1645,537,230,0,35s,7→9,1,1.0s,近战位,费用回复 快速复活,标准寻访,"cost,re_deploy,interval,,cost`-1,-4,5,,-1","100,0,40",缺陷,普通,标准,普通,普通,标准,389,情报官,再部署时间减少，可使用远程攻击
冰酿,狙击,4,Coldshot,コールドショット,CB28,女,哥伦比亚,,哥伦比亚,埃拉菲亚,哥伦比亚,,1855,958,224,0,80s,17→19→21,1,1.6s,远程位,输出,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,105,0",标准,标准,标准,标准,标准,标准,294,猎手,攻击时需要消耗子弹且攻击力提升至120%，不攻击时会缓慢地装填子弹（最多8发）
凛冬,先锋,4,Зима,ズィマー,USS1,女,乌萨斯,乌萨斯学生自治团,乌萨斯学生自治团,乌萨斯,乌萨斯,,2150,470,350,0,70s,11→13,2,1.05s,近战位,费用回复 支援,"公开招募, 中坚寻访","cost,re_deploy,def,re_deploy,cost`-1,-4,24,-6,-1","0,0,70",优良,标准,优良,普通,标准,普通,46,尖兵,能够阻挡两个敌人
凛御银灰,先锋,5,SilverAsh the Reignfrost,,KJ01,男,谢拉格,,谢拉格,菲林,谢拉格,,2218,618,397,15,70s,11→13,2,1.2s,近战位,费用回复 支援,限定寻访,"cost,def,hp,,cost`-1,25,180,,-1","100,35,40",标准,标准,标准,卓越,优良,标准,397,策士,能够阻挡两个敌人，可以支援待部署区的我方单位
凛视,辅助,4,Valarqvin,ヴァラルクビン,SI06,女,萨米,,萨米,萨卡兹,萨米,,1097,447,101,15,70s,13→15,1,1.6s,远程位,元素,活动获得,"cost,re_deploy,cost,,cost`-1,-10,-1,,-1","250,30,0",标准,普通,标准,优良,标准,优良,289,巫役,攻击造成法术伤害，可以造成元素损伤
凯尔希,医疗,5,Kal'tsit,ケルシー,B003,女,罗德岛,,罗德岛,菲林,罗德岛,,1633,490,215,0,70s,18→20,1,2.85s,远程位,召唤 治疗,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,25,,-1","400,0,40",普通,普通,普通,■■,普通,标准,192,医师,恢复友方单位生命
凯瑟琳,辅助,4,Catherine,キャサリン,VC20,女,维多利亚,,维多利亚,菲林,维多利亚,,2680,550,420,0,80s,16→18→20,2,1.5s,近战位,防护 支援,活动获得,"cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,40,40",普通,普通,普通,优良,普通,标准,345,工匠,能够阻挡两个敌人，使用<支援装置>协助作战
初雪,辅助,4,Pramanix,プラマニクス,JC05,女,谢拉格,,喀兰贸易,菲林,谢拉格,喀兰贸易,1605,430,102,25,70s,10→12,1,1.6s,远程位,削弱,"公开招募, 中坚寻访","cost,re_deploy,res,,cost`-1,-4,8,,-1","0,65,0",普通,普通,标准,优良,标准,卓越,68,削弱者,攻击造成法术伤害
刺玫,医疗,4,Vendela,ヴァンデラ,VC24,女,维多利亚,,维多利亚,菲林,维多利亚,,1370,550,100,20,70s,15→17,1,1.6s,远程位,治疗,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,22,,-1","180,30,0",缺陷,普通,标准,标准,普通,标准,299,咒愈师,攻击造成法术伤害，攻击敌人时为攻击范围内一名友方干员治疗相当于50%伤害的生命值
刻俄柏,术师,5,Ceobe,ケオベ,R155,女,玻利瓦尔,,罗德岛,佩洛,罗德岛,,1565,667,128,20,70s,19→21,1,1.6s,远程位,输出 控场,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,27,,-1","0,90,0",标准,优良,卓越,普通,标准,优良,123,中坚术师,攻击造成法术伤害
刻刀,近卫,3,Cutter,カッター,R144,女,哥伦比亚,,哥伦比亚,沃尔珀,哥伦比亚,,2320,571,325,0,70s,17→19→21,2,1.3s,近战位,爆发 输出,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,21,,-1","0,70,0",标准,标准,普通,普通,优良,标准,130,剑豪,普通攻击连续造成两次伤害
医生,近卫,4,Doc,Doc,RS06,男,未知,彩虹小队,彩虹小队,未知,,,2217,657,360,0,70s,14→16,2,1.05s,近战位,治疗 支援,联动寻访,"cost,re_deploy,hp,,cost`-1,-4,200,,-1","150,0,40",标准,普通,普通,优良,优良,■■,319,教官,可以攻击到较远敌人，攻击自身未阻挡的敌人时攻击力提升至120%
华法琳,医疗,4,Warfarin,ワルファリン,R106,女,卡兹戴尔,,罗德岛,萨卡兹,罗德岛,,1520,505,125,0,70s,17→19,1,2.85s,远程位,治疗 支援,"公开招募, 中坚寻访","cost,re_deploy,atk,re_deploy,cost`-1,-4,27,-6,-1","0,75,0",标准,标准,标准,优良,标准,优良,59,医师,恢复友方单位生命
协律,术师,3,Akkord,,LN22,女,莱塔尼亚,,莱塔尼亚,卡普里尼,莱塔尼亚,,1528,680,110,20,70s,29→32,1,2.9s,远程位,群攻 输出,凭证交易所(采购),"cost,re_deploy,atk,,cost`-1,-4,32,,-1","0,60,0",普通,普通,普通,普通,普通,标准,392,轰击术师,攻击造成超远距离的群体法术伤害
卡夫卡,特种,4,Kafka,カフカ,CB06,女,哥伦比亚,,哥伦比亚,黎博利,哥伦比亚,,1675,525,311,0,18s,7→9,1,0.93s,近战位,快速复活 控场,"公开招募, 中坚寻访","cost,hp,re_deploy,,cost`-1,150,-2,,-1","350,0,0",标准,优良,普通,标准,标准,标准,173,处决者,再部署时间大幅度减少
卡涅利安,术师,5,Carnelian,カーネリアン,LN04,女,萨尔贡,,莱塔尼亚,卡普里尼,莱塔尼亚,,2106,846,228,15,70s,22→24,1,2.0s,远程位,群攻 防护,中坚寻访,"cost,re_deploy,atk,,cost`-1,-4,34,,-1","0,80,30",普通,普通,优良,标准,标准,优良,197,阵法术师,通常时不攻击且防御力和法术抗性大幅度提升，技能开启时攻击造成群体法术伤害
卡缇,重装,2,Cardigan,カーディ,PA45,女,莱塔尼亚,行动预备组A4,行动预备组A4,佩洛,罗德岛,,2130,305,475,0,70s,16→18,3,1.2s,近战位,防护,"标准寻访, 中坚寻访","cost,re_deploy,hp,re_deploy,cost`-1,-4,200,-6,-1","300,0,0",普通,优良,标准,普通,普通,普通,12,铁卫,能够阻挡三个敌人
卡达,术师,3,Click,カシャ,R140,女,未公开,,罗德岛,札拉克,罗德岛,,1440,315,120,20,70s,18→20,1,1.3s,远程位,输出 控场,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,interval,re_deploy,cost`-1,-4,6,-6,-1","0,60,0",普通,标准,标准,普通,普通,标准,144,驭械术师,操作浮游单元造成法术伤害单元攻击同一敌人伤害提升（最高造成干员110%攻击力的伤害）
历阵锐枪芬,先锋,4,Fang the Fire-sharpened,歴陣鋭槍フェン,RF04,女,卡西米尔,,罗德岛,库兰塔,罗德岛,,2226,570,360,0,70s,10→12,1,1.0s,近战位,费用回复 输出,标准寻访,"cost,re_deploy,atk,re_deploy,cost`-1,-4,25,-6,-1","0,70,0",标准,优良,标准,优良,标准,标准,326,冲锋手,击杀敌人后获得1点部署费用，撤退时返还初始部署费用
双月,特种,4,Iana,Iana,RS07,女,未知,彩虹小队,彩虹小队,未知,,,2436,708,291,0,70s,13→15,2,1.2s,近战位,削弱 快速复活,联动寻访,"cost,re_deploy,atk,,cost`-1,-4,27,,-1","0,50,30",普通,优良,普通,优良,优良,■■,318,傀儡师,受到致命伤时不撤退，切换成<替身>作战（替身阻挡数为0），持续20s后自身再次替换<替身>
古米,重装,3,Гум,グム,USS3,女,乌萨斯,乌萨斯学生自治团,乌萨斯学生自治团,乌萨斯,乌萨斯,,2550,435,562,10,70s,16→18→20,2→3→3,1.2s,近战位,防护 治疗,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,21,,-1","400,0,0",优良,普通,优良,普通,普通,普通,41,守护者,技能可以治疗友方单位
可颂,重装,4,Croissant,クロワッサン,PL04,女,米诺斯,,企鹅物流,丰蹄,炎-龙门,企鹅物流,3520,380,710,0,70s,18→20→22,3,1.2s,近战位,防护 位移,"公开招募, 中坚寻访","cost,re_deploy,def,,cost`-1,-4,26,,-1","150,0,60",优良,普通,标准,标准,标准,普通,63,铁卫,能够阻挡三个敌人
史尔特尔,近卫,5,Surtr,スルト,R111,女,不明,,罗德岛,萨卡兹,罗德岛,,2916,672,414,15,70s,19→21,1,1.25s,近战位,输出,"公开招募, 中坚寻访","cost,,atk,,cost`-1,,28,,-1","0,100,0",普通,普通,普通,优良,普通,缺陷,161,术战者,攻击造成法术伤害
史都华德,术师,2,Steward,スチュワード,PA42,男,谢拉格,行动预备组A4,行动预备组A4,沃尔珀,罗德岛,,1100,470,90,15,70s,16→18,1,1.6s,远程位,输出,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,re_deploy,cost`-1,-4,23,-6,-1","0,50,0",普通,标准,普通,普通,标准,标准,19,中坚术师,攻击造成法术伤害
号角,重装,5,Horn,ホルン,VC16,女,维多利亚,,维多利亚,鲁珀,维多利亚,,3067,936,620,0,70s,24→26→28,2→3→3,2.8s,近战位,输出 防护,标准寻访,"cost,,atk,,cost`-1,,30,,-1","300,70,0",优良,标准,优良,优良,优良,标准,232,要塞,不阻挡敌人时优先远程群体物理攻击
司霆惊蛰,近卫,5,Leizi the Thunderbringer,,YD25,女,炎,,炎,麒麟,炎,,3863,360,491,15,70s,10→12,2→2→3,1.2s,近战位,输出 爆发,标准寻访,"cost,,atk,,cost`-1,,29,,-1","360,30,0",标准,优良,标准,优良,优良,卓越,378,解放者,通常不攻击且阻挡数为0，技能未开启时40秒内攻击力逐渐提升至最高+200%且技能结束时重置攻击力
吉星,狙击,4,Kichisei,,HK16,女,东国,,东,佩洛,东,,2310,727,190,0,70s,28→31,1,2.3s,远程位,群攻,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,31,,-1","0,65,0",普通,标准,标准,标准,普通,标准,381,散射手,攻击范围内的所有敌人，对自己前方一横排的敌人攻击力提升至150%
吽,重装,4,Hung,ウン,LM19,男,龙门,鲤氏侦探事务所,鲤氏侦探事务所,佩洛,炎-龙门,,2823,442,585,10,70s,17→19→21,2→3→3,1.2s,近战位,防护 治疗,"公开招募, 中坚寻访","cost,re_deploy,def,,cost`-1,-4,25,,-1","200,0,60",标准,标准,优良,普通,标准,普通,119,守护者,技能可以治疗友方单位
和弦,术师,4,Harmonie,ハーモニー,DB03,女,维多利亚,,塔拉,菲林,维多利亚,塔拉,1546,1245,125,20,70s,22→24,1,3.0s,远程位,输出,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,45,,-1","0,130,0",标准,普通,标准,优良,标准,优良,263,秘术师,攻击造成法术伤害，在找不到攻击目标时可以将攻击能量储存起来之后一齐发射（最多3个）
哈洛德,医疗,4,Harold,ハロルド,VC27,男,维多利亚,,维多利亚,菲林,维多利亚,,1400,385,100,10,80s,15→17,1,2.85s,远程位,治疗,活动获得,"cost,re_deploy,cost,,cost`-1,-10,-1,,-1","150,35,0",标准,标准,优良,优良,优良,优良,307,行医,恢复友方单位生命，并回复相当于攻击力50%的元素损伤（可以回复未受伤友方单位的元素损伤）
哈蒂娅,近卫,4,Hadiya,,SG28,女,哥伦比亚,,萨尔贡,卡普里尼,萨尔贡,,2895,530,393,10,70s,8→10,2,1.25s,近战位,输出 控场,凭证交易所(采购),"cost,re_deploy,atk,,cost`-1,-4,30,,-1","0,55,0",标准,标准,优良,标准,标准,普通,393,佣兵,可消耗部署费用来强化作战能力
嘉维尔,医疗,3,Gavial,ガヴィル,IU07,女,未公开,,罗德岛,阿达克利斯,罗德岛,,1580,450,152,0,70s,16→18,1,2.85s,远程位,治疗,信用交易所,"cost,re_deploy,atk,,cost`-1,-4,23,,-1","0,30,30",优良,标准,优良,标准,优良,标准,37,医师,恢复友方单位生命
四月,狙击,4,April,エイプリル,RB07,女,雷姆必拓,,雷姆必拓,卡特斯,雷姆必拓,,1280,528,160,0,70s,11→13,1,1.0s,远程位,输出,"公开招募, 中坚寻访","cost,re_deploy,atk,re_deploy,cost`-1,-4,23,-6,-1","0,75,0",标准,标准,标准,标准,标准,标准,160,速射手,优先攻击空中单位
因陀罗,近卫,4,Indra,インドラ,GG03,女,不明,,格拉斯哥帮,菲林,维多利亚,格拉斯哥帮,2565,530,350,0,70s,8→10,1,0.78s,近战位,输出 生存,公开招募,"cost,re_deploy,atk,,cost`-1,-4,23,,-1","0,75,0",优良,标准,标准,普通,优良,普通,49,斗士,能够阻挡一个敌人
图耶,医疗,4,Tuye,トゥイエ,SG08,女,萨尔贡,,萨尔贡,丰蹄,萨尔贡,,1550,493,135,0,80s,19→21,1,2.85s,远程位,治疗,"活动获得, 凭证交易所(高级/通用)","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,75,0",普通,优良,普通,优良,普通,普通,178,医师,恢复友方单位生命
圣约送葬人,近卫,5,Executor the Ex Foedere,聖約イグゼキュター,LT40,男,拉特兰,,拉特兰,萨科塔,拉特兰,,2491,707,461,0,70s,20→21→23,1→2→2,1.3s,近战位,输出,标准寻访,"cost,def,atk,,cost`-1,22,26,,-1","0,70,30",优良,标准,标准,优良,优良,标准,286,收割者,无法被友方角色治疗，攻击造成群体伤害，每攻击到一个敌人回复自身50生命，最大生效数等于阻挡数
圣聆初雪,术师,5,Pramanix the Prerita,,KJ02,女,谢拉格,,谢拉格,菲林,谢拉格,,2058,836,265,15,70s,22→24,1,2.0s,远程位,群攻 控场,标准寻访,"cost,,atk,,cost`-1,,34,,-1","0,80,30",普通,普通,标准,优良,标准,卓越,396,阵法术师,通常时不攻击且防御力和法术抗性大幅度提升，技能开启时攻击造成群体法术伤害
地灵,辅助,3,Earthspirit,アーススピリット,LN01,女,莱塔尼亚,,莱塔尼亚,卡普里尼,莱塔尼亚,,1205,480,101,20,70s,12→14,1,1.9s,远程位,减速,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,21,,-1","0,50,0",普通,标准,普通,标准,标准,优良,43,凝滞师,攻击造成法术伤害，并对敌人造成短暂的停顿
坚雷,重装,3,Dur-nar,ジュナー,R124,女,哥伦比亚,,罗德岛,沃尔珀,罗德岛,,3007,583,548,15,70s,20→22→24,3,1.6s,近战位,防护 输出,信用交易所,"cost,re_deploy,atk,def,cost`-1,-4,23,20,-1","0,65,0",优良,标准,标准,普通,优良,普通,102,驭法铁卫,技能开启时普通攻击会造成法术伤害
埃拉托,狙击,4,Erato,エラト,MN07,女,米诺斯,,米诺斯,黎博利,米诺斯,,1648,957,125,0,70s,21→23,1,2.4s,远程位,输出 控场,"活动获得, 凭证交易所(高级/通用)","cost,re_deploy,atk,re_deploy,cost`-1,-4,34,-6,-1","150,70,0",标准,优良,标准,普通,标准,优良,237,攻城手,优先攻击重量最重的敌人
